"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
NCI-H522,LUAD,lung,lung_NSCLC_adenocarcinoma,5.773539,0.934109
NCI-H69,SCLC,lung,lung_small_cell_carcinoma,5.821047,0.952097
SKN-3,HNSC,aero_digestive_tract,head_and_neck,5.913938,0.929938
NCI-H524,SCLC,lung,lung_small_cell_carcinoma,5.935943,0.974348
AU565,BRCA,breast,breast,5.938882,0.938334
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,5.949890,0.920894
DMS-53,SCLC,lung,lung_small_cell_carcinoma,6.023834,0.909658
BE2-M17,NB,nervous_system,neuroblastoma,6.084910,0.927086
BPH-1,UNCLASSIFIED,urogenital_system,prostate,6.133038,0.914501
EW-18,UNCLASSIFIED,bone,ewings_sarcoma,6.151460,0.956786
TE-8,ESCA,aero_digestive_tract,oesophagus,6.180831,0.932207
RF-48,STAD,digestive_system,stomach,6.266232,0.953077
COLO-824,BRCA,breast,breast,6.317718,0.930335
SK-GT-2,STAD,digestive_system,stomach,6.392323,0.944683
GCIY,STAD,digestive_system,stomach,6.451868,0.916508
HT-1080,UNCLASSIFIED,soft_tissue,fibrosarcoma,6.452442,0.921855
NB(TU)1-10,NB,nervous_system,neuroblastoma,6.577211,0.948771
RH-41,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,6.599527,0.959724
HT-29,COREAD,digestive_system,large_intestine,6.697235,0.913948
PC-3_[JPC-3],LUAD,lung,lung_NSCLC_adenocarcinoma,6.712165,0.885075
YAPC,PAAD,pancreas,pancreas,6.762662,0.905113
SH-4,SKCM,skin,melanoma,6.825096,0.936454
PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,6.957466,0.907534
NCI-H810,UNCLASSIFIED,lung,lung_NSCLC_large_cell,6.981802,0.954544
SK-N-FI,NB,nervous_system,neuroblastoma,7.152598,0.941303
HCC38,BRCA,breast,breast,7.158598,0.923097
SCC-15,HNSC,aero_digestive_tract,head_and_neck,7.166718,0.923548
JIMT-1,BRCA,breast,breast,7.228266,0.948036
K-562,LCML,blood,chronic_myeloid_leukaemia,7.265033,0.948274
D-392MG,GBM,nervous_system,glioma,7.441400,0.943781
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,7.474420,0.959339
SK-HEP-1,LIHC,digestive_system,liver,7.540484,0.955379
NB7,NB,nervous_system,neuroblastoma,7.620896,0.948574
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,7.757102,0.946209
NCI-H1651,LUAD,lung,lung_NSCLC_adenocarcinoma,7.843625,0.950145
RPMI-8226,MM,blood,myeloma,7.909325,0.978301
TE-4,ESCA,aero_digestive_tract,oesophagus,7.948523,0.964442
A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,7.949296,0.964932
SUIT-2,PAAD,pancreas,pancreas,8.011302,0.880310
SNU-407,COREAD,digestive_system,large_intestine,8.043629,0.940891
COR-L32,SCLC,lung,lung_small_cell_carcinoma,8.093154,0.949725
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,8.113598,0.997701
PANC-02-03,PAAD,pancreas,pancreas,8.159889,0.897285
NCI-H2731,MESO,lung,mesothelioma,8.201236,0.938543
LOU-NH91,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,8.239934,0.932686
SW872,UNCLASSIFIED,soft_tissue,soft_tissue_other,8.248164,0.914379
NCI-H1975,LUAD,lung,lung_NSCLC_adenocarcinoma,8.326630,0.925385
COLO-792,SKCM,skin,melanoma,8.342385,0.949522
MFE-319,UCEC,urogenital_system,endometrium,8.388197,0.951129
NCI-H2452,MESO,lung,mesothelioma,8.506556,0.901968
FTC-133,THCA,thyroid,thyroid,8.534730,0.927294
SW948,COREAD,digestive_system,large_intestine,8.567594,0.936599
RT4,BLCA,urogenital_system,bladder,8.584553,0.956004
CAMA-1,BRCA,breast,breast,8.655393,0.961874
PANC-03-27,PAAD,pancreas,pancreas,8.886169,0.917963
SLVL,DLBC,blood,B_cell_lymphoma,8.936835,0.976890
NCI-N87,STAD,digestive_system,stomach,9.013371,0.899193
CAL-27,HNSC,aero_digestive_tract,head_and_neck,9.244522,0.951666
SNU-423,LIHC,digestive_system,liver,9.389204,0.944005
CGTH-W-1,THCA,thyroid,thyroid,9.401104,0.947065
HCC-827,LUAD,lung,lung_NSCLC_adenocarcinoma,9.408139,0.907977
HLE,LIHC,digestive_system,liver,9.467505,0.963638
NCI-H2461,MESO,lung,mesothelioma,9.473678,0.910832
RD,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,9.564911,0.944534
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,9.569924,0.955258
EBC-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,9.737591,0.928674
MIA-PaCa-2,PAAD,pancreas,pancreas,9.863810,0.962017
UM-UC-3,BLCA,urogenital_system,bladder,9.882456,0.962094
MPP-89,MESO,lung,mesothelioma,10.011153,0.953088
NCI-H841,SCLC,lung,lung_small_cell_carcinoma,10.056840,0.938958
GCT,UNCLASSIFIED,soft_tissue,soft_tissue_other,10.126997,0.940492
SK-MM-2,MM,blood,myeloma,10.557057,0.970947
FU97,STAD,digestive_system,stomach,10.674805,0.925312
MDA-MB-415,BRCA,breast,breast,10.815608,0.976548
KMOE-2,LAML,blood,acute_myeloid_leukaemia,10.961339,0.978797
HuO9,UNCLASSIFIED,bone,osteosarcoma,10.984438,0.967643
LU-135,SCLC,lung,lung_small_cell_carcinoma,11.024957,0.966146
OAW-28,OV,urogenital_system,ovary,11.058002,0.931449
KYSE-450,ESCA,aero_digestive_tract,oesophagus,11.237744,0.941752
OE21,ESCA,aero_digestive_tract,oesophagus,11.273113,0.947555
CL-11,COREAD,digestive_system,large_intestine,11.345026,0.887643
MEL-JUSO,SKCM,skin,melanoma,11.427664,0.947492
Saos-2,UNCLASSIFIED,bone,osteosarcoma,11.679323,0.951036
5637,BLCA,urogenital_system,bladder,11.705001,0.941449
NCI-H716,COREAD,digestive_system,large_intestine,12.048540,0.943487
KYSE-180,ESCA,aero_digestive_tract,oesophagus,12.073435,0.975872
OCUB-M,BRCA,breast,breast,12.291382,0.981826
PANC-10-05,PAAD,pancreas,pancreas,12.440320,0.904016
HDQ-P1,BRCA,breast,breast,12.471779,0.951287
BxPC-3,PAAD,pancreas,pancreas,12.739724,0.952930
SF268,GBM,nervous_system,glioma,12.899734,0.946856
OVTOKO,OV,urogenital_system,ovary,13.198989,0.932018
NH-12,NB,nervous_system,neuroblastoma,13.270696,0.947275
T98G,GBM,nervous_system,glioma,13.335921,0.976729
HuP-T3,PAAD,pancreas,pancreas,13.374282,0.931345
OE19,ESCA,aero_digestive_tract,oesophagus,13.385804,0.939870
MS-1,SCLC,lung,lung_small_cell_carcinoma,13.654077,0.989578
TE-9,ESCA,aero_digestive_tract,oesophagus,13.791790,0.974491
639-V,BLCA,urogenital_system,bladder,13.810272,0.971784
NCI-H520,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,13.896024,0.947334
NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,14.024229,0.956064
SW1088,GBM,nervous_system,glioma,14.483644,0.950627
UMC-11,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,14.510557,0.958835
MDA-MB-361,BRCA,breast,breast,14.584048,0.973995
NCI-H64,SCLC,lung,lung_small_cell_carcinoma,14.585675,0.942685
SK-MG-1,GBM,nervous_system,glioma,14.611501,0.955195
BT-549,BRCA,breast,breast,14.688507,0.940664
MM1S,MM,blood,myeloma,15.192074,0.993252
SW1710,BLCA,urogenital_system,bladder,15.241805,0.960454
UACC-62,SKCM,skin,melanoma,15.447656,0.966761
U-2-OS,UNCLASSIFIED,bone,osteosarcoma,15.447723,0.952331
C-4-I,CESC,urogenital_system,cervix,15.590329,0.970404
OACp4C,ESCA,aero_digestive_tract,oesophagus,15.653763,0.968751
ASH-3,THCA,thyroid,thyroid,15.900386,0.973852
NCI-H2052,MESO,lung,mesothelioma,16.045771,0.944866
RCC10RGB,KIRC,kidney,kidney,16.081906,0.898424
NCI-H1755,LUAD,lung,lung_NSCLC_adenocarcinoma,16.134084,0.952254
DMS-114,SCLC,lung,lung_small_cell_carcinoma,16.294352,0.968672
EW-13,UNCLASSIFIED,bone,ewings_sarcoma,16.407570,0.959704
NCI-H1915,UNCLASSIFIED,lung,lung_NSCLC_large_cell,16.556958,0.937761
HeLa,CESC,urogenital_system,cervix,16.652256,0.987699
CAL-85-1,BRCA,breast,breast,16.764461,0.964908
LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,16.820136,0.950203
CHL-1,SKCM,skin,melanoma,16.887533,0.973277
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,17.003275,0.957202
DOK,HNSC,aero_digestive_tract,head_and_neck,17.255497,0.964628
GB-1,GBM,nervous_system,glioma,17.268113,0.936011
SCC-4,HNSC,aero_digestive_tract,head_and_neck,17.276078,0.973220
COR-L23,UNCLASSIFIED,lung,lung_NSCLC_large_cell,17.353000,0.943486
JHH-6,LIHC,digestive_system,liver,17.374190,0.936846
Caov-4,OV,urogenital_system,ovary,17.559554,0.950936
HCC-15,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,17.611321,0.953320
C2BBe1,COREAD,digestive_system,large_intestine,17.756166,0.921804
HT55,COREAD,digestive_system,large_intestine,18.189462,0.957110
HCC70,BRCA,breast,breast,18.487907,0.985905
CAL-120,BRCA,breast,breast,18.503873,0.894565
KYSE-150,ESCA,aero_digestive_tract,oesophagus,18.630423,0.971783
PEO1,OV,urogenital_system,ovary,18.745925,0.935174
COLO-684,UCEC,urogenital_system,endometrium,18.775885,0.960512
L-363,MM,blood,myeloma,18.803635,0.992436
A704,KIRC,kidney,kidney,18.843939,0.973169
LS-1034,COREAD,digestive_system,large_intestine,19.178095,0.978217
HOP-92,UNCLASSIFIED,lung,lung_NSCLC_large_cell,19.351255,0.943400
KATOIII,STAD,digestive_system,stomach,19.562184,0.933381
Ca-Ski,CESC,urogenital_system,cervix,19.744124,0.965788
M059J,GBM,nervous_system,glioma,19.784880,0.966119
Hs-746T,STAD,digestive_system,stomach,19.788310,0.946611
PFSK-1,MB,nervous_system,medulloblastoma,19.833696,0.982681
NCI-H2405,LUAD,lung,lung_NSCLC_adenocarcinoma,19.931322,0.879728
SCC-9,HNSC,aero_digestive_tract,head_and_neck,19.951494,0.967295
SW900,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,20.062792,0.927877
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,20.157756,0.966628
OVCAR-3,OV,urogenital_system,ovary,20.761802,0.965106
NCI-H358,LUAD,lung,lung_NSCLC_adenocarcinoma,20.871838,0.946180
ME-180,CESC,urogenital_system,cervix,20.954097,0.965922
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,21.066590,0.986721
LN-18,GBM,nervous_system,glioma,21.211340,0.974325
ONS-76,MB,nervous_system,medulloblastoma,21.491566,0.968313
NCI-H727,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,21.740575,0.951464
huH-1,LIHC,digestive_system,liver,22.113576,0.942344
SKN,UNCLASSIFIED,urogenital_system,uterus,22.141122,0.964050
BICR78,HNSC,aero_digestive_tract,head_and_neck,22.702961,0.951630
CCK-81,COREAD,digestive_system,large_intestine,22.824138,0.979858
CAL-78,UNCLASSIFIED,bone,chondrosarcoma,22.852148,0.983601
LB831-BLC,BLCA,urogenital_system,bladder,23.048130,0.981868
HOS,UNCLASSIFIED,bone,osteosarcoma,23.082494,0.990597
NCI-H1993,LUAD,lung,lung_NSCLC_adenocarcinoma,23.084308,0.968759
NCI-H2795,MESO,lung,mesothelioma,23.238690,0.972281
PA-TU-8902,PAAD,pancreas,pancreas,23.960335,0.936663
PCI-30,HNSC,aero_digestive_tract,head_and_neck,24.458222,0.947770
RCC-JW,KIRC,kidney,kidney,25.424830,0.970747
SAT,HNSC,aero_digestive_tract,head_and_neck,25.477005,0.962630
HuH-7,LIHC,digestive_system,liver,25.851315,0.961770
NCI-H747,COREAD,digestive_system,large_intestine,26.034798,0.936233
SCC90,HNSC,aero_digestive_tract,head_and_neck,26.155052,0.953189
OV-90,OV,urogenital_system,ovary,26.185132,0.947917
HCC1395,BRCA,breast,breast,26.195757,0.974302
B-CPAP,THCA,thyroid,thyroid,26.253312,0.958209
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,26.271484,0.989921
COR-L279,SCLC,lung,lung_small_cell_carcinoma,26.395000,0.980978
MDA-MB-468,BRCA,breast,breast,26.739984,0.985148
UACC-257,SKCM,skin,melanoma,26.936628,0.956698
TCCSUP,BLCA,urogenital_system,bladder,27.140221,0.956155
HCC1187,BRCA,breast,breast,27.144186,0.983550
MOG-G-CCM,LGG,nervous_system,glioma,27.389979,0.960976
TT2609-C02,THCA,thyroid,thyroid,27.412102,0.922290
Becker,GBM,nervous_system,glioma,27.417774,0.965386
CAL-29,BLCA,urogenital_system,bladder,27.512612,0.973612
Hs-578-T,BRCA,breast,breast,27.771507,0.975308
LCLC-103H,UNCLASSIFIED,lung,lung_NSCLC_large_cell,27.808612,0.975985
NCI-H720,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,27.826701,0.980011
SW48,COREAD,digestive_system,large_intestine,28.132331,0.964101
JHH-1,LIHC,digestive_system,liver,28.774146,0.972055
DoTc2-4510,CESC,urogenital_system,cervix,29.154528,0.971495
SW1271,SCLC,lung,lung_small_cell_carcinoma,29.197009,0.944633
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,29.225573,0.948168
HPAF-II,PAAD,pancreas,pancreas,29.346033,0.947979
BT-20,BRCA,breast,breast,29.457853,0.991933
SK-OV-3,OV,urogenital_system,ovary,29.880794,0.930575
SKG-IIIa,CESC,urogenital_system,cervix,30.320034,0.963419
SW626,OV,urogenital_system,ovary,30.618106,0.939228
T84,COREAD,digestive_system,large_intestine,30.628804,0.976579
SW1990,PAAD,pancreas,pancreas,30.687952,0.959197
SW684,UNCLASSIFIED,soft_tissue,fibrosarcoma,30.696843,0.946956
NCI-H1573,LUAD,lung,lung_NSCLC_adenocarcinoma,30.806650,0.963858
SW780,BLCA,urogenital_system,bladder,31.638847,0.968094
NCI-H2595,MESO,lung,mesothelioma,31.776736,0.952842
NCI-H835,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,31.869883,0.987181
NOS-1,UNCLASSIFIED,bone,osteosarcoma,32.311104,0.987954
NCI-H1435,LUAD,lung,lung_NSCLC_adenocarcinoma,33.025828,0.993232
VMRC-LCD,LUAD,lung,lung_NSCLC_adenocarcinoma,33.402604,0.973642
RERF-GC-1B,STAD,digestive_system,stomach,33.689491,0.977472
NB12,NB,nervous_system,neuroblastoma,33.855007,0.976766
HCC1419,BRCA,breast,breast,33.870203,0.989294
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,33.973333,0.936574
HT-144,SKCM,skin,melanoma,34.488245,0.984526
KP-2,PAAD,pancreas,pancreas,35.142436,0.967904
MS751,CESC,urogenital_system,cervix,35.978634,0.989942
NCI-H650,LUAD,lung,lung_NSCLC_adenocarcinoma,36.164672,0.983803
NCI-H1688,SCLC,lung,lung_small_cell_carcinoma,36.475357,0.989483
HCC1500,BRCA,breast,breast,37.036255,0.988082
HTC-C3,THCA,thyroid,thyroid,37.913828,0.970196
AsPC-1,PAAD,pancreas,pancreas,38.177823,0.917871
SiHa,CESC,urogenital_system,cervix,39.131671,0.971636
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,39.167761,0.978735
NCI-H2066,SCLC,lung,lung_small_cell_carcinoma,39.346187,0.954672
NCI-H513,MESO,lung,mesothelioma,39.420755,0.944370
CaR-1,COREAD,digestive_system,large_intestine,39.721059,0.982254
AN3-CA,UCEC,urogenital_system,endometrium,41.057195,0.985409
KYSE-50,ESCA,aero_digestive_tract,oesophagus,41.253363,0.986334
DU-145,PRAD,urogenital_system,prostate,41.603678,0.979981
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,41.747852,0.968625
OVISE,OV,urogenital_system,ovary,41.757327,0.972448
SK-LU-1,LUAD,lung,lung_NSCLC_adenocarcinoma,42.588863,0.952122
MDA-MB-157,BRCA,breast,breast,43.168301,0.983016
NCI-H1355,LUAD,lung,lung_NSCLC_adenocarcinoma,43.882988,0.959054
CS1,UNCLASSIFIED,bone,bone_other,43.903862,0.966364
SK-N-SH,NB,nervous_system,neuroblastoma,43.964942,0.966788
U251,GBM,nervous_system,glioma,44.938709,0.971872
22RV1,PRAD,urogenital_system,prostate,45.921573,0.971070
MCF7,BRCA,breast,breast,46.018761,0.968289
EFM-19,BRCA,breast,breast,46.304434,0.978106
CAS-1,GBM,nervous_system,glioma,46.468268,0.960355
COLO-680N,ESCA,aero_digestive_tract,oesophagus,46.506044,0.956956
KYAE-1,ESCA,aero_digestive_tract,oesophagus,46.560759,0.986415
HCC1143,BRCA,breast,breast,46.584381,0.970919
NCI-H1693,LUAD,lung,lung_NSCLC_adenocarcinoma,47.586532,0.937114
DBTRG-05MG,GBM,nervous_system,glioma,48.199497,0.921700
SW837,COREAD,digestive_system,large_intestine,48.457686,0.975754
DK-MG,GBM,nervous_system,glioma,50.012129,0.971052
IM-95,STAD,digestive_system,stomach,51.212702,0.984159
NCI-H2141,SCLC,lung,lung_small_cell_carcinoma,51.669943,0.982065
HCC1954,BRCA,breast,breast,51.782687,0.990941
T47D,BRCA,breast,breast,51.888279,0.985327
EFM-192A,BRCA,breast,breast,52.105032,0.981016
KS-1,GBM,nervous_system,glioma,52.894583,0.985507
NCI-H2369,MESO,lung,mesothelioma,53.256407,0.978067
HH,UNCLASSIFIED,blood,T_cell_leukemia,53.675741,0.987102
NCI-H28,MESO,lung,mesothelioma,53.744148,0.936366
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,54.148070,0.985129
HCC2157,BRCA,breast,breast,54.222224,0.984809
MKN28,STAD,digestive_system,stomach,54.234193,0.975543
NCI-H1563,LUAD,lung,lung_NSCLC_adenocarcinoma,54.458094,0.975583
SNU-C2B,COREAD,digestive_system,large_intestine,56.459708,0.953621
EFO-21,OV,urogenital_system,ovary,59.018447,0.925892
LS-123,COREAD,digestive_system,large_intestine,59.387754,0.952064
NCI-H2085,LUAD,lung,lung_NSCLC_adenocarcinoma,60.062185,0.979537
8305C,THCA,thyroid,thyroid,60.455832,0.973187
PC-3,PRAD,urogenital_system,prostate,60.880464,0.963718
TT,THCA,thyroid,thyroid,62.993088,0.944281
TGBC1TKB,UNCLASSIFIED,digestive_system,biliary_tract,63.077324,0.969226
RMG-I,UNCLASSIFIED,urogenital_system,ovary,63.531752,0.954317
KALS-1,LGG,nervous_system,glioma,64.009722,0.979155
JHH-2,LIHC,digestive_system,liver,64.432147,0.980044
RERF-LC-KJ,LUAD,lung,lung_NSCLC_adenocarcinoma,65.003655,0.981960
EN,UCEC,urogenital_system,endometrium,66.955992,0.977445
NCI-H596,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,67.416823,0.981655
A498,KIRC,kidney,kidney,67.636903,0.976483
JHH-7,LIHC,digestive_system,liver,71.050408,0.974062
MDA-MB-436,BRCA,breast,breast,71.485228,0.981917
NCI-H1568,LUAD,lung,lung_NSCLC_adenocarcinoma,71.800737,0.951251
TE-6,ESCA,aero_digestive_tract,oesophagus,71.924436,0.974758
TE-1,ESCA,aero_digestive_tract,oesophagus,72.159958,0.982726
SNU-C1,COREAD,digestive_system,large_intestine,72.457234,0.980089
LU-165,SCLC,lung,lung_small_cell_carcinoma,73.777187,0.978381
KP-3,UNCLASSIFIED,pancreas,pancreas,75.043086,0.959994
OVCA420,OV,urogenital_system,ovary,76.849095,0.974017
IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,76.853951,0.988048
JHH-4,LIHC,digestive_system,liver,77.254038,0.974395
OVCAR-4,OV,urogenital_system,ovary,78.148581,0.979025
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,78.698612,0.978075
NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,79.119591,0.980889
SNU-387,LIHC,digestive_system,liver,79.834956,0.977523
NB1,NB,nervous_system,neuroblastoma,81.806774,0.970185
HEC-1,UCEC,urogenital_system,endometrium,82.617407,0.983434
SN12C,KIRC,kidney,kidney,82.942596,0.979558
OS-RC-2,KIRC,kidney,kidney,85.738186,0.976691
LN-229,GBM,nervous_system,glioma,86.779071,0.981030
IST-MES1,MESO,lung,mesothelioma,86.861355,0.979838
G-292-Clone-A141B1,UNCLASSIFIED,bone,osteosarcoma,88.748066,0.976015
SW1116,COREAD,digestive_system,large_intestine,89.275474,0.982755
MFE-296,UCEC,urogenital_system,endometrium,89.422835,0.984301
SNU-182,LIHC,digestive_system,liver,89.837466,0.974671
SNU-61,COREAD,digestive_system,large_intestine,90.101867,0.979128
HT-1197,BLCA,urogenital_system,bladder,92.448903,0.978938
NCI-H1092,SCLC,lung,lung_small_cell_carcinoma,92.637027,0.985334
PANC-08-13,PAAD,pancreas,pancreas,94.037285,0.972835
MKN1,UNCLASSIFIED,digestive_system,stomach,96.125923,0.978326
SW1573,LUAD,lung,lung_NSCLC_adenocarcinoma,96.968111,0.965209
OVCAR-5,OV,urogenital_system,ovary,97.165441,0.960164
SNU-449,LIHC,digestive_system,liver,97.730778,0.974984
LN-405,GBM,nervous_system,glioma,100.620221,0.983250
MFM-223,BRCA,breast,breast,102.044008,0.968181
HuO-3N1,UNCLASSIFIED,bone,osteosarcoma,103.267953,0.981244
NCI-H661,UNCLASSIFIED,lung,lung_NSCLC_large_cell,104.741029,0.982910
OV-56,OV,urogenital_system,ovary,106.628466,0.976132
Mewo,SKCM,skin,melanoma,107.045911,0.985336
MFE-280,UCEC,urogenital_system,endometrium,108.442925,0.980292
RKN,UNCLASSIFIED,urogenital_system,ovary,110.050867,0.979026
Calu-3,LUAD,lung,lung_NSCLC_adenocarcinoma,111.096149,0.977357
SK-GT-4,ESCA,aero_digestive_tract,oesophagus,111.458028,0.949465
LB771-HNC,HNSC,aero_digestive_tract,head_and_neck,111.905396,0.979063
NCI-H2818,MESO,lung,mesothelioma,112.815717,0.979163
8505C,THCA,thyroid,thyroid,114.148102,0.979731
KYSE-70,ESCA,aero_digestive_tract,oesophagus,115.450407,0.981759
UACC-812,BRCA,breast,breast,117.115125,0.984491
J82,BLCA,urogenital_system,bladder,119.042445,0.976224
OVKATE,OV,urogenital_system,ovary,119.250746,0.953294
NCI-H196,SCLC,lung,lung_small_cell_carcinoma,119.486019,0.984147
HCC1937,BRCA,breast,breast,120.183892,0.986992
NCI-H2347,LUAD,lung,lung_NSCLC_adenocarcinoma,124.482852,0.944016
RCM-1,COREAD,digestive_system,large_intestine,125.545537,0.971809
SK-MEL-1,SKCM,skin,melanoma,125.823147,0.981470
ZR-75-30,BRCA,breast,breast,128.435094,0.971484
HT-1376,BLCA,urogenital_system,bladder,130.442697,0.975180
FU-OV-1,OV,urogenital_system,ovary,136.411410,0.973274
BT-474,BRCA,breast,breast,141.092877,0.978656
MKN7,STAD,digestive_system,stomach,146.562324,0.962946
KLE,UCEC,urogenital_system,endometrium,151.889341,0.970454
KYSE-410,ESCA,aero_digestive_tract,oesophagus,156.507701,0.971789
NCI-H441,LUAD,lung,lung_NSCLC_adenocarcinoma,159.413392,0.932398
COLO-829,SKCM,skin,melanoma,164.125109,0.963285
TK10,KIRC,kidney,kidney,178.247237,0.966793
NCI-H2591,MESO,lung,mesothelioma,179.200489,0.961558
NCI-H1838,LUAD,lung,lung_NSCLC_adenocarcinoma,179.211287,0.967268
HCC1428,BRCA,breast,breast,180.137882,0.969878
KINGS-1,LGG,nervous_system,glioma,180.638911,0.976157
EGI-1,UNCLASSIFIED,digestive_system,biliary_tract,183.897979,0.973160
CAPAN-2,PAAD,pancreas,pancreas,205.313919,0.965285
KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,231.627061,0.976497
HPAC,PAAD,pancreas,pancreas,254.973916,0.965083
SW756,CESC,urogenital_system,cervix,258.379173,0.976851
NCI-H2722,MESO,lung,mesothelioma,277.811507,0.958633
NUGC-4,STAD,digestive_system,stomach,282.607836,0.974465
Hs-766T,PAAD,pancreas,pancreas,284.652374,0.965211
VMRC-RCZ,KIRC,kidney,kidney,321.233188,0.972379
NCI-H1650,LUAD,lung,lung_NSCLC_adenocarcinoma,331.688101,0.966183
BT-483,BRCA,breast,breast,335.860993,0.964344
NCI-H1793,LUAD,lung,lung_NSCLC_adenocarcinoma,379.294972,0.970639
SU8686,PAAD,pancreas,pancreas,389.697242,0.971541
SW1417,COREAD,digestive_system,large_intestine,439.058173,0.958602
HD-MY-Z,UNCLASSIFIED,blood,Hodgkin_lymphoma,443.203059,0.966030
PANC-04-03,PAAD,pancreas,pancreas,449.817452,0.957971
RO82-W-1,THCA,thyroid,thyroid,459.649089,0.966364
NCI-H226,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,482.694479,0.969641
KYSE-520,ESCA,aero_digestive_tract,oesophagus,506.605750,0.979919
COLO-678,COREAD,digestive_system,large_intestine,720.929041,0.970320
